,Measure,Value,Method
55,F1Score,0.9521126760563381,Logistic Regression
56,Precision,0.988950276243094,Neural Network
57,Recall,0.9675675675675676,Neural Network
58,Accuracy,0.994256999282125,Neural Network
59,F1Score,0.9781420765027322,Neural Network
60,Precision,0.9720670391061452,Naive Bayesian
61,Recall,0.9405405405405406,Naive Bayesian
62,Accuracy,0.9885139985642498,Naive Bayesian
63,F1Score,0.9560439560439562,Naive Bayesian
64,Precision,0.8757062146892656,Decision Tree
65,Recall,0.8378378378378378,Decision Tree
66,Accuracy,0.9626704953338119,Decision Tree
67,F1Score,0.856353591160221,Decision Tree
68,Precision,0.9941176470588236,Logistic Regression
69,Recall,0.9135135135135135,Logistic Regression
70,Accuracy,0.9877961234745154,Logistic Regression
71,F1Score,0.9521126760563381,Logistic Regression
72,Precision,1.0,Neural Network
73,Recall,0.9351351351351351,Neural Network
74,Accuracy,0.9913854989231874,Neural Network
75,F1Score,0.9664804469273743,Neural Network
76,Precision,0.9720670391061452,Naive Bayesian
77,Recall,0.9405405405405406,Naive Bayesian
78,Accuracy,0.9885139985642498,Naive Bayesian
79,F1Score,0.9560439560439562,Naive Bayesian
80,Precision,0.8481675392670157,Decision Tree
81,Recall,0.8756756756756757,Decision Tree
82,Accuracy,0.9626704953338119,Decision Tree
83,F1Score,0.8617021276595744,Decision Tree
84,Precision,0.9941176470588236,Logistic Regression
85,Recall,0.9135135135135135,Logistic Regression
86,Accuracy,0.9877961234745154,Logistic Regression
87,F1Score,0.9521126760563381,Logistic Regression
88,Precision,1.0,Neural Network
89,Recall,0.9351351351351351,Neural Network
90,Accuracy,0.9913854989231874,Neural Network
91,F1Score,0.9664804469273743,Neural Network
92,Precision,0.9720670391061452,Naive Bayesian
93,Recall,0.9405405405405406,Naive Bayesian
94,Accuracy,0.9885139985642498,Naive Bayesian
95,F1Score,0.9560439560439562,Naive Bayesian
96,Precision,0.8663101604278075,Decision Tree
97,Recall,0.8756756756756757,Decision Tree
98,Accuracy,0.9655419956927495,Decision Tree
99,F1Score,0.8709677419354839,Decision Tree
100,Precision,0.9941176470588236,Logistic Regression
101,Recall,0.9135135135135135,Logistic Regression
102,Accuracy,0.9877961234745154,Logistic Regression
103,F1Score,0.9521126760563381,Logistic Regression
104,Precision,1.0,Neural Network
105,Recall,0.9297297297297298,Neural Network
106,Accuracy,0.990667623833453,Neural Network
107,F1Score,0.9635854341736695,Neural Network
108,Precision,0.9720670391061452,Naive Bayesian
109,Recall,0.9405405405405406,Naive Bayesian
110,Accuracy,0.9885139985642498,Naive Bayesian
111,F1Score,0.9560439560439562,Naive Bayesian
112,Precision,0.8333333333333334,Decision Tree
113,Recall,0.8918918918918919,Decision Tree
114,Accuracy,0.9619526202440776,Decision Tree
115,F1Score,0.8616187989556137,Decision Tree
116,Precision,0.9941176470588236,Logistic Regression
117,Recall,0.9135135135135135,Logistic Regression
118,Accuracy,0.9877961234745154,Logistic Regression
119,F1Score,0.9521126760563381,Logistic Regression
120,Precision,1.0,Neural Network
121,Recall,0.9297297297297298,Neural Network
122,Accuracy,0.990667623833453,Neural Network
123,F1Score,0.9635854341736695,Neural Network
124,Precision,0.9720670391061452,Naive Bayesian
125,Recall,0.9405405405405406,Naive Bayesian
126,Accuracy,0.9885139985642498,Naive Bayesian
127,F1Score,0.9560439560439562,Naive Bayesian
128,Precision,0.8617021276595744,Decision Tree
129,Recall,0.8756756756756757,Decision Tree
130,Accuracy,0.964824120603015,Decision Tree
131,F1Score,0.8686327077747988,Decision Tree
132,Precision,0.9941176470588236,Logistic Regression
133,Recall,0.9135135135135135,Logistic Regression
134,Accuracy,0.9877961234745154,Logistic Regression
135,F1Score,0.9521126760563381,Logistic Regression
136,Precision,1.0,Neural Network
137,Recall,0.9243243243243243,Neural Network
138,Accuracy,0.9899497487437185,Neural Network
139,F1Score,0.9606741573033708,Neural Network
140,Precision,0.9720670391061452,Naive Bayesian
141,Recall,0.9405405405405406,Naive Bayesian
142,Accuracy,0.9885139985642498,Naive Bayesian
143,F1Score,0.9560439560439562,Naive Bayesian
144,Precision,0.8901098901098901,Decision Tree
145,Recall,0.8756756756756757,Decision Tree
146,Accuracy,0.9691313711414213,Decision Tree
147,F1Score,0.8828337874659401,Decision Tree
148,Precision,0.9941176470588236,Logistic Regression
149,Recall,0.9135135135135135,Logistic Regression
150,Accuracy,0.9877961234745154,Logistic Regression
151,F1Score,0.9521126760563381,Logistic Regression
152,Precision,1.0,Neural Network
153,Recall,0.9297297297297298,Neural Network
154,Accuracy,0.990667623833453,Neural Network
155,F1Score,0.9635854341736695,Neural Network
156,Precision,0.9720670391061452,Naive Bayesian
157,Recall,0.9405405405405406,Naive Bayesian
158,Accuracy,0.9885139985642498,Naive Bayesian
159,F1Score,0.9560439560439562,Naive Bayesian
