,Measure,Value,MaxFeature
55,F1Score,0.8594164456233423,MaxFeature-0.25
56,Accuracy,0.9626704953338119,MaxFeature-0.5
57,F1Score,0.8624338624338624,MaxFeature-0.5
58,Accuracy,0.9641062455132807,MaxFeature-0.75
59,F1Score,0.8641304347826086,MaxFeature-0.75
60,Accuracy,0.9612347451543432,MaxFeature-None
61,F1Score,0.8571428571428572,MaxFeature-None
62,Accuracy,0.9547738693467337,MaxFeature-sqrt
63,F1Score,0.8205128205128205,MaxFeature-sqrt
64,Accuracy,0.9511844938980617,MaxFeature-log2
65,F1Score,0.8121546961325967,MaxFeature-log2
66,Accuracy,0.9755922469490309,MaxFeature-0.25
67,F1Score,0.9065934065934066,MaxFeature-0.25
68,Accuracy,0.9705671213208902,MaxFeature-0.5
69,F1Score,0.8894878706199462,MaxFeature-0.5
70,Accuracy,0.968413496051687,MaxFeature-0.75
71,F1Score,0.8848167539267016,MaxFeature-0.75
72,Accuracy,0.9633883704235463,MaxFeature-None
73,F1Score,0.8625336927223719,MaxFeature-None
74,Accuracy,0.9626704953338119,MaxFeature-sqrt
75,F1Score,0.8539325842696629,MaxFeature-sqrt
76,Accuracy,0.9425699928212491,MaxFeature-log2
77,F1Score,0.7660818713450294,MaxFeature-log2
78,Accuracy,0.9705671213208902,MaxFeature-0.25
79,F1Score,0.8894878706199462,MaxFeature-0.25
80,Accuracy,0.9770279971284996,MaxFeature-0.5
81,F1Score,0.9148936170212766,MaxFeature-0.5
82,Accuracy,0.9633883704235463,MaxFeature-0.75
83,F1Score,0.8640000000000001,MaxFeature-0.75
84,Accuracy,0.9662598707824839,MaxFeature-None
85,F1Score,0.8733153638814016,MaxFeature-None
86,Accuracy,0.95908111988514,MaxFeature-sqrt
87,F1Score,0.841225626740947,MaxFeature-sqrt
88,Accuracy,0.9440057430007178,MaxFeature-log2
89,F1Score,0.7758620689655172,MaxFeature-log2
90,Accuracy,0.9763101220387652,MaxFeature-0.25
91,F1Score,0.9095890410958904,MaxFeature-0.25
92,Accuracy,0.9712849964106246,MaxFeature-0.5
93,F1Score,0.8895027624309393,MaxFeature-0.5
94,Accuracy,0.9626704953338119,MaxFeature-0.75
95,F1Score,0.8594594594594595,MaxFeature-0.75
96,Accuracy,0.9619526202440776,MaxFeature-None
97,F1Score,0.8579088471849866,MaxFeature-None
98,Accuracy,0.9626704953338119,MaxFeature-sqrt
99,F1Score,0.8452380952380952,MaxFeature-sqrt
100,Accuracy,0.9547738693467337,MaxFeature-log2
101,F1Score,0.8130563798219584,MaxFeature-log2
102,Accuracy,0.9705671213208902,MaxFeature-0.25
103,F1Score,0.8876712328767123,MaxFeature-0.25
104,Accuracy,0.9777458722182341,MaxFeature-0.5
105,F1Score,0.9155313351498637,MaxFeature-0.5
106,Accuracy,0.9655419956927495,MaxFeature-0.75
107,F1Score,0.8702702702702703,MaxFeature-0.75
108,Accuracy,0.9655419956927495,MaxFeature-None
109,F1Score,0.8702702702702703,MaxFeature-None
110,Accuracy,0.9490308686288585,MaxFeature-sqrt
111,F1Score,0.8116710875331564,MaxFeature-sqrt
112,Accuracy,0.9526202440775305,MaxFeature-log2
113,F1Score,0.8070175438596491,MaxFeature-log2
114,Accuracy,0.9669777458722182,MaxFeature-0.25
115,F1Score,0.8776595744680851,MaxFeature-0.25
116,Accuracy,0.9734386216798278,MaxFeature-0.5
117,F1Score,0.8969359331476323,MaxFeature-0.5
118,Accuracy,0.9748743718592965,MaxFeature-0.75
119,F1Score,0.9030470914127423,MaxFeature-0.75
