,Measure,Value,MinImpurityDecrease
64,Accuracy,0.908829863603733,3.0%
65,F1Score,0.6576819407008087,3.0%
66,Accuracy,0.908829863603733,3.5%
67,F1Score,0.6576819407008087,3.5%
68,Accuracy,0.8786791098348887,4.0%
69,F1Score,0.48318042813455664,4.0%
70,Accuracy,0.8786791098348887,4.5%
71,F1Score,0.48318042813455664,4.5%
72,Accuracy,0.8671931083991385,5.0%
73,F1Score,0.0,5.0%
74,Accuracy,0.8671931083991385,5.5%
75,F1Score,0.0,5.5%
76,Accuracy,0.8671931083991385,6.0%
77,F1Score,0.0,6.0%
78,Accuracy,0.9705671213208902,0.0%
79,F1Score,0.888888888888889,0.0%
80,Accuracy,0.9310839913854989,0.5%
81,F1Score,0.7587939698492463,0.5%
82,Accuracy,0.9339554917444365,1.0%
83,F1Score,0.7444444444444445,1.0%
84,Accuracy,0.9167264895908112,1.5%
85,F1Score,0.6979166666666666,1.5%
86,Accuracy,0.908829863603733,2.0%
87,F1Score,0.6576819407008087,2.0%
88,Accuracy,0.908829863603733,2.5%
89,F1Score,0.6576819407008087,2.5%
90,Accuracy,0.908829863603733,3.0%
91,F1Score,0.6576819407008087,3.0%
92,Accuracy,0.908829863603733,3.5%
93,F1Score,0.6576819407008087,3.5%
94,Accuracy,0.8786791098348887,4.0%
95,F1Score,0.48318042813455664,4.0%
96,Accuracy,0.8786791098348887,4.5%
97,F1Score,0.48318042813455664,4.5%
98,Accuracy,0.8671931083991385,5.0%
99,F1Score,0.0,5.0%
100,Accuracy,0.8671931083991385,5.5%
101,F1Score,0.0,5.5%
102,Accuracy,0.8671931083991385,6.0%
103,F1Score,0.0,6.0%
104,Accuracy,0.964824120603015,0.0%
105,F1Score,0.870026525198939,0.0%
106,Accuracy,0.9310839913854989,0.5%
107,F1Score,0.7587939698492463,0.5%
108,Accuracy,0.9339554917444365,1.0%
109,F1Score,0.7444444444444445,1.0%
110,Accuracy,0.9167264895908112,1.5%
111,F1Score,0.6979166666666666,1.5%
112,Accuracy,0.908829863603733,2.0%
113,F1Score,0.6576819407008087,2.0%
114,Accuracy,0.908829863603733,2.5%
115,F1Score,0.6576819407008087,2.5%
116,Accuracy,0.908829863603733,3.0%
117,F1Score,0.6576819407008087,3.0%
118,Accuracy,0.908829863603733,3.5%
119,F1Score,0.6576819407008087,3.5%
120,Accuracy,0.8786791098348887,4.0%
121,F1Score,0.48318042813455664,4.0%
122,Accuracy,0.8786791098348887,4.5%
123,F1Score,0.48318042813455664,4.5%
124,Accuracy,0.8671931083991385,5.0%
125,F1Score,0.0,5.0%
126,Accuracy,0.8671931083991385,5.5%
127,F1Score,0.0,5.5%
128,Accuracy,0.8671931083991385,6.0%
129,F1Score,0.0,6.0%
130,Accuracy,0.9633883704235463,0.0%
131,F1Score,0.8661417322834645,0.0%
132,Accuracy,0.9310839913854989,0.5%
133,F1Score,0.7587939698492463,0.5%
134,Accuracy,0.9339554917444365,1.0%
135,F1Score,0.7444444444444445,1.0%
136,Accuracy,0.9167264895908112,1.5%
137,F1Score,0.6979166666666666,1.5%
138,Accuracy,0.908829863603733,2.0%
139,F1Score,0.6576819407008087,2.0%
140,Accuracy,0.908829863603733,2.5%
141,F1Score,0.6576819407008087,2.5%
142,Accuracy,0.908829863603733,3.0%
143,F1Score,0.6576819407008087,3.0%
144,Accuracy,0.908829863603733,3.5%
145,F1Score,0.6576819407008087,3.5%
146,Accuracy,0.8786791098348887,4.0%
147,F1Score,0.48318042813455664,4.0%
148,Accuracy,0.8786791098348887,4.5%
149,F1Score,0.48318042813455664,4.5%
150,Accuracy,0.8671931083991385,5.0%
151,F1Score,0.0,5.0%
152,Accuracy,0.8671931083991385,5.5%
153,F1Score,0.0,5.5%
154,Accuracy,0.8671931083991385,6.0%
155,F1Score,0.0,6.0%
156,Accuracy,0.9626704953338119,0.0%
157,F1Score,0.8609625668449198,0.0%
158,Accuracy,0.9332376166547021,0.5%
159,F1Score,0.7645569620253164,0.5%
160,Accuracy,0.9339554917444365,1.0%
161,F1Score,0.7444444444444445,1.0%
162,Accuracy,0.9167264895908112,1.5%
163,F1Score,0.6979166666666666,1.5%
164,Accuracy,0.908829863603733,2.0%
165,F1Score,0.6576819407008087,2.0%
166,Accuracy,0.908829863603733,2.5%
167,F1Score,0.6576819407008087,2.5%
168,Accuracy,0.908829863603733,3.0%
169,F1Score,0.6576819407008087,3.0%
170,Accuracy,0.908829863603733,3.5%
171,F1Score,0.6576819407008087,3.5%
172,Accuracy,0.8786791098348887,4.0%
173,F1Score,0.48318042813455664,4.0%
174,Accuracy,0.8786791098348887,4.5%
175,F1Score,0.48318042813455664,4.5%
176,Accuracy,0.8671931083991385,5.0%
177,F1Score,0.0,5.0%
178,Accuracy,0.8671931083991385,5.5%
179,F1Score,0.0,5.5%
180,Accuracy,0.8671931083991385,6.0%
181,F1Score,0.0,6.0%
182,Accuracy,0.9633883704235463,0.0%
183,F1Score,0.8625336927223719,0.0%
184,Accuracy,0.9310839913854989,0.5%
185,F1Score,0.7587939698492463,0.5%
186,Accuracy,0.9339554917444365,1.0%
187,F1Score,0.7444444444444445,1.0%
188,Accuracy,0.9167264895908112,1.5%
189,F1Score,0.6979166666666666,1.5%
190,Accuracy,0.908829863603733,2.0%
191,F1Score,0.6576819407008087,2.0%
192,Accuracy,0.908829863603733,2.5%
193,F1Score,0.6576819407008087,2.5%
194,Accuracy,0.908829863603733,3.0%
195,F1Score,0.6576819407008087,3.0%
196,Accuracy,0.908829863603733,3.5%
197,F1Score,0.6576819407008087,3.5%
198,Accuracy,0.8786791098348887,4.0%
199,F1Score,0.48318042813455664,4.0%
200,Accuracy,0.8786791098348887,4.5%
201,F1Score,0.48318042813455664,4.5%
202,Accuracy,0.8671931083991385,5.0%
203,F1Score,0.0,5.0%
204,Accuracy,0.8671931083991385,5.5%
205,F1Score,0.0,5.5%
206,Accuracy,0.8671931083991385,6.0%
207,F1Score,0.0,6.0%
208,Accuracy,0.9626704953338119,0.0%
209,F1Score,0.8609625668449198,0.0%
210,Accuracy,0.9310839913854989,0.5%
211,F1Score,0.7587939698492463,0.5%
212,Accuracy,0.9339554917444365,1.0%
213,F1Score,0.7444444444444445,1.0%
214,Accuracy,0.9167264895908112,1.5%
215,F1Score,0.6979166666666666,1.5%
216,Accuracy,0.908829863603733,2.0%
217,F1Score,0.6576819407008087,2.0%
218,Accuracy,0.908829863603733,2.5%
219,F1Score,0.6576819407008087,2.5%
220,Accuracy,0.908829863603733,3.0%
221,F1Score,0.6576819407008087,3.0%
222,Accuracy,0.908829863603733,3.5%
223,F1Score,0.6576819407008087,3.5%
224,Accuracy,0.8786791098348887,4.0%
225,F1Score,0.48318042813455664,4.0%
226,Accuracy,0.8786791098348887,4.5%
227,F1Score,0.48318042813455664,4.5%
228,Accuracy,0.8671931083991385,5.0%
229,F1Score,0.0,5.0%
230,Accuracy,0.8671931083991385,5.5%
231,F1Score,0.0,5.5%
232,Accuracy,0.8671931083991385,6.0%
233,F1Score,0.0,6.0%
234,Accuracy,0.95908111988514,0.0%
235,F1Score,0.8463611859838276,0.0%
236,Accuracy,0.9332376166547021,0.5%
237,F1Score,0.7645569620253164,0.5%
238,Accuracy,0.9339554917444365,1.0%
239,F1Score,0.7444444444444445,1.0%
240,Accuracy,0.9167264895908112,1.5%
241,F1Score,0.6979166666666666,1.5%
242,Accuracy,0.908829863603733,2.0%
243,F1Score,0.6576819407008087,2.0%
244,Accuracy,0.908829863603733,2.5%
245,F1Score,0.6576819407008087,2.5%
246,Accuracy,0.908829863603733,3.0%
247,F1Score,0.6576819407008087,3.0%
248,Accuracy,0.908829863603733,3.5%
249,F1Score,0.6576819407008087,3.5%
250,Accuracy,0.8786791098348887,4.0%
251,F1Score,0.48318042813455664,4.0%
252,Accuracy,0.8786791098348887,4.5%
253,F1Score,0.48318042813455664,4.5%
254,Accuracy,0.8671931083991385,5.0%
255,F1Score,0.0,5.0%
256,Accuracy,0.8671931083991385,5.5%
257,F1Score,0.0,5.5%
258,Accuracy,0.8671931083991385,6.0%
259,F1Score,0.0,6.0%
