,Measure,Value,MinSampleSplit
151,F1Score,0.8688524590163934,MinSampleSplit-50
152,Accuracy,0.9490308686288585,MinSampleSplit-100
153,F1Score,0.8174807197943444,MinSampleSplit-100
154,Accuracy,0.9461593682699211,MinSampleSplit-250
155,F1Score,0.8129675810473816,MinSampleSplit-250
156,Accuracy,0.9626704953338119,MinSampleSplit-2
157,F1Score,0.860215053763441,MinSampleSplit-2
158,Accuracy,0.9619526202440776,MinSampleSplit-10
159,F1Score,0.8586666666666666,MinSampleSplit-10
160,Accuracy,0.9619526202440776,MinSampleSplit-25
161,F1Score,0.8579088471849866,MinSampleSplit-25
162,Accuracy,0.9662598707824839,MinSampleSplit-50
163,F1Score,0.8690807799442897,MinSampleSplit-50
164,Accuracy,0.9483129935391242,MinSampleSplit-100
165,F1Score,0.8144329896907216,MinSampleSplit-100
166,Accuracy,0.9526202440775305,MinSampleSplit-250
167,F1Score,0.8333333333333334,MinSampleSplit-250
168,Accuracy,0.9641062455132807,MinSampleSplit-2
169,F1Score,0.8633879781420766,MinSampleSplit-2
170,Accuracy,0.9619526202440776,MinSampleSplit-10
171,F1Score,0.8555858310626703,MinSampleSplit-10
172,Accuracy,0.9619526202440776,MinSampleSplit-25
173,F1Score,0.8531855955678671,MinSampleSplit-25
174,Accuracy,0.9662598707824839,MinSampleSplit-50
175,F1Score,0.872628726287263,MinSampleSplit-50
176,Accuracy,0.949748743718593,MinSampleSplit-100
177,F1Score,0.8205128205128206,MinSampleSplit-100
178,Accuracy,0.949748743718593,MinSampleSplit-250
179,F1Score,0.8232323232323233,MinSampleSplit-250
180,Accuracy,0.9655419956927495,MinSampleSplit-2
181,F1Score,0.8709677419354839,MinSampleSplit-2
182,Accuracy,0.9655419956927495,MinSampleSplit-10
183,F1Score,0.8695652173913042,MinSampleSplit-10
184,Accuracy,0.9655419956927495,MinSampleSplit-25
185,F1Score,0.8666666666666667,MinSampleSplit-25
186,Accuracy,0.964824120603015,MinSampleSplit-50
187,F1Score,0.8657534246575342,MinSampleSplit-50
188,Accuracy,0.9490308686288585,MinSampleSplit-100
189,F1Score,0.8184143222506394,MinSampleSplit-100
190,Accuracy,0.9454414931801867,MinSampleSplit-250
191,F1Score,0.8109452736318408,MinSampleSplit-250
192,Accuracy,0.9676956209619526,MinSampleSplit-2
193,F1Score,0.8780487804878049,MinSampleSplit-2
194,Accuracy,0.968413496051687,MinSampleSplit-10
195,F1Score,0.8804347826086957,MinSampleSplit-10
196,Accuracy,0.9655419956927495,MinSampleSplit-25
197,F1Score,0.8681318681318682,MinSampleSplit-25
198,Accuracy,0.968413496051687,MinSampleSplit-50
199,F1Score,0.8784530386740332,MinSampleSplit-50
200,Accuracy,0.9475951184493898,MinSampleSplit-100
201,F1Score,0.8123393316195374,MinSampleSplit-100
202,Accuracy,0.9447236180904522,MinSampleSplit-250
203,F1Score,0.8098765432098766,MinSampleSplit-250
204,Accuracy,0.9619526202440776,MinSampleSplit-2
205,F1Score,0.8586666666666666,MinSampleSplit-2
206,Accuracy,0.9655419956927495,MinSampleSplit-10
207,F1Score,0.8702702702702703,MinSampleSplit-10
208,Accuracy,0.9612347451543432,MinSampleSplit-25
209,F1Score,0.8524590163934427,MinSampleSplit-25
210,Accuracy,0.9676956209619526,MinSampleSplit-50
211,F1Score,0.8746518105849582,MinSampleSplit-50
212,Accuracy,0.9504666188083274,MinSampleSplit-100
213,F1Score,0.823529411764706,MinSampleSplit-100
214,Accuracy,0.9519023689877961,MinSampleSplit-250
215,F1Score,0.8312342569269521,MinSampleSplit-250
216,Accuracy,0.9655419956927495,MinSampleSplit-2
217,F1Score,0.8716577540106951,MinSampleSplit-2
218,Accuracy,0.9676956209619526,MinSampleSplit-10
219,F1Score,0.88,MinSampleSplit-10
220,Accuracy,0.9641062455132807,MinSampleSplit-25
221,F1Score,0.8626373626373626,MinSampleSplit-25
222,Accuracy,0.9698492462311558,MinSampleSplit-50
223,F1Score,0.8833333333333334,MinSampleSplit-50
224,Accuracy,0.9490308686288585,MinSampleSplit-100
225,F1Score,0.8184143222506394,MinSampleSplit-100
226,Accuracy,0.9454414931801867,MinSampleSplit-250
227,F1Score,0.8099999999999999,MinSampleSplit-250
228,Accuracy,0.964824120603015,MinSampleSplit-2
229,F1Score,0.8679245283018868,MinSampleSplit-2
230,Accuracy,0.9641062455132807,MinSampleSplit-10
231,F1Score,0.8677248677248677,MinSampleSplit-10
232,Accuracy,0.9669777458722182,MinSampleSplit-25
233,F1Score,0.8736263736263735,MinSampleSplit-25
234,Accuracy,0.964824120603015,MinSampleSplit-50
235,F1Score,0.8650137741046833,MinSampleSplit-50
236,Accuracy,0.9504666188083274,MinSampleSplit-100
237,F1Score,0.8226221079691517,MinSampleSplit-100
238,Accuracy,0.9475951184493898,MinSampleSplit-250
239,F1Score,0.8142493638676845,MinSampleSplit-250
