,Measure,Value,MaxLeafNodes
222,Accuracy,0.9626704953338119,30
223,F1Score,0.8547486033519553,30
224,Accuracy,0.9655419956927495,40
225,F1Score,0.8666666666666667,40
226,Accuracy,0.9705671213208902,50
227,F1Score,0.8864265927977839,50
228,Accuracy,0.9633883704235463,60
229,F1Score,0.8610354223433242,60
230,Accuracy,0.964824120603015,70
231,F1Score,0.8672086720867209,70
232,Accuracy,0.9633883704235463,80
233,F1Score,0.8625336927223719,80
234,Accuracy,0.9669777458722182,90
235,F1Score,0.8770053475935828,90
236,Accuracy,0.9676956209619526,100
237,F1Score,0.8787061994609164,100
238,Accuracy,0.9655419956927495,110
239,F1Score,0.8716577540106951,110
240,Accuracy,0.9619526202440776,120
241,F1Score,0.8601583113456465,120
242,Accuracy,0.9662598707824839,130
243,F1Score,0.8733153638814016,130
244,Accuracy,0.9698492462311558,140
245,F1Score,0.8864864864864865,140
246,Accuracy,0.9669777458722182,150
247,F1Score,0.8776595744680851,150
248,Accuracy,0.9641062455132807,160
249,F1Score,0.8626373626373626,160
250,Accuracy,0.9655419956927495,170
251,F1Score,0.8736842105263158,170
252,Accuracy,0.9641062455132807,180
253,F1Score,0.8677248677248677,180
254,Accuracy,0.9669777458722182,190
255,F1Score,0.8776595744680851,190
256,Accuracy,0.9662598707824839,200
257,F1Score,0.8753315649867375,200
258,Accuracy,0.9626704953338119,210
259,F1Score,0.8638743455497383,210
260,Accuracy,0.964824120603015,220
261,F1Score,0.8693333333333333,220
262,Accuracy,0.9662598707824839,230
263,F1Score,0.8746666666666667,230
264,Accuracy,0.9641062455132807,240
265,F1Score,0.8648648648648649,240
266,Accuracy,0.9669777458722182,250
267,F1Score,0.8756756756756757,250
268,Accuracy,0.9669777458722182,260
269,F1Score,0.8763440860215054,260
